Holder Address,Total Weight,0x20ef84969f6d81Ff74AE4591c331858b20AD82CD Token Balance,0x20ef84969f6d81Ff74AE4591c331858b20AD82CD LP Balance,0x3e43cB385A6925986e7ea0f0dcdAEc06673d4e10 Token Balance,0x3e43cB385A6925986e7ea0f0dcdAEc06673d4e10 LP Balance,0x2b0772BEa2757624287ffc7feB92D03aeAE6F12D Token Balance,0x2b0772BEa2757624287ffc7feB92D03aeAE6F12D LP Balance
0x70a0493c265a898032ecfa65fc1072f6835d44fd,10042738.217116085812449455,3804383.523515635635703802,0,5245201.84393310546875,0,993152.849667344358749688,0
0x17a1523df839d5edb1d500881fbbb2714a48ca60,9918341.288507282733917236,652633.819736971752718091,0,6724657.40375731885433197,0,2541050.065012992825359106,0
0x26ca66a755344c36214c227c3033861d5268506d,9818581.76806766539812088,379260.959870103455614299,764163.900140788173303008,1475209.429739146493375301,3558467.61102365143597126,296081.504115825751796365,2067393.384121052920818329
0x7bf851f58dddbaf5a2d0bb0098741faaa5392689,9353785.580558791756629944,0,0,6271697.901347938925027847,0,3082087.679210852365940809,0
0x336b2ae0b25f2553897480620dc3e5cec2211ca3,8834656.705945417284965515,0,0,8834656.705945417284965515,0,0,0
0x71c3315b18f1f120b8d00fed2af800da4a53c5f6,8000000,8000000,0,0,0,0,0
0xbb5cbe428083d48aaa859df700576d6bf2f80eda,7947808.214701438322663307,0,0,0,0,7947808.214701438322663307,0
0xdee951ef7f6ad50a5185607172d4067b89f42705,6999993.755799663253128529,0,0,6999993.755799663253128529,0,0,0
0xb9bdb21ef696eb1b23df63e4e231c933f3de23db,6990796.155373282730579376,1981849.717909296508878469,0,0,0,5008946.437463985756039619,0
0xfefa80407dded2a762429e8712bcc8ee2a0b46b3,6578837.886798746883869171,0,0,3880045.707834880799055099,0,2698792.178963866084814072,0
0xd0b7cc2113ed934d9293c4bef02cd06ac5735bed,6292429.603056838735938072,0,0,5755553.466826295480132103,0,536876.136230543372221291,0
0x988eae5615e529f14c725ee4339a63b530471f18,6230491.717703917995095253,6230491.717703917995095253,0,0,0,0,0
0x09de46dff9e65158a575f5ac79f9315e4d0161e1,6079343.649103257805109024,0.599741324993374292,0,0,0,6079343.049361933022737503,0
0x6552d32c1a0563d6bd434c761771341058862f78,5636346.131434611976146698,0,0,0,0,5636346.131434611976146698,0
0xd70ab82dca628365aac98622fdb9239371130511,5343750,2531250,0,2812500,0,0,0
0x58b77d4fe7d93fba7de47fb701939d3c53388696,5196996.987523285672068596,0,0,0,0,5196996.987523285672068596,0
0xc3aea0f6be290b29badd64275ce6a017c4ee98b6,5000000.000000000931322575,5000000.000000000931322575,0,0,0,0,0
0xd972c984f693aee122a3da24241a1d21bdbe6b3d,5000000,0,0,5000000,0,0,0
0x21ea9d95b03e2714cf0f0ef3a2c07efcacca3785,5000000,0,0,0,0,5000000,0
0x4b6d425fae5ef632fc6cea366ff2f7b0d5110374,5000000,0,0,5000000,0,0,0
0x5ea9ccef88538cfbb0aa3976fafb51dcab847e10,4568538.235321942716836929,4568538.235321942716836929,0,0,0,0,0
0xb9f3d299df0f335f6b2c18caca9ccdb1ceb30a38,4000000,4000000,0,0,0,0,0
0xc97cb5c2da789bc0f78bc0f75a97f26ffffc3678,3852122.556198196019977331,0.000000000116415322,0,0,0,3852122.556198196019977331,0
0x62010bd90c9b427b6d45bbde1db16bb50e6177b3,3750000,3750000,0,0,0,0,0
0x614e860aa61cdb5452463255103f7941d344f44f,3750000,3750000,0,0,0,0,0
0xc0d5adf62e82f7a06afb222ec5f360c77b1248a6,3750000,3750000,0,0,0,0,0
0x4419c54e81d83b029e23c8bf4646ec2c9c74a0f3,3718266.128371480852365494,547986.367890470661222935,0,3170279.760481010191142559,0,0,0
0xad155c939d8d745dd488567b18369c13cdd841f4,3661822.362207629252225161,0,0,3661822.362207629252225161,0,0,0
0x9f14f4ca28320499951270cd2927a6d2d2c0c24c,3540633.293055247981101274,3540633.293055247981101274,0,0,0,0,0
0xf6ca173de68863fef0e5f6c5e9cbcf4420c4dc5e,3531944.157475035637617111,0,0,0,0,3531944.157475035637617111,0
0xca03901c0e7397678c025ed66e56ed4a5b72110a,3409053.608847992029041052,3409053.608847992029041052,0,0,0,0,0
0x304856144a8cc390cd59c76f7df2dcd8174ba549,3388701.246544554363936186,2999900,324001.03878712875302881,0,0,0,0
0x9667589d315756eb6ab36698712ab48576b73a7b,3163088.235421623568981886,1343274.354248264105990529,0,1819813.881173359462991357,0,0,0
0x245884cdeaf149890a0deb08b4c6fd1be25b9421,3137752.326576693914830685,3137752.326576693914830685,0,0,0,0,0
0x8c7661cbbe32ab65a3af9026076d67973eb994d4,3054053.218153645750135183,3054053.218153645750135183,0,0,0,0,0
0x6a1a252e84bf1569be1652c53801c85e26b142fe,3037871.485404352657496929,0,0,0,0,3037871.485404352657496929,0
0x4c5699ed4021ede881351090154f9e1f4f4e6680,3000000,0,0,0,0,3000000,0
0xa0be9112d0c73ae47cd2378be7cf934db2f7de22,2998350.978015472646802664,0,0,2998350.978015472646802664,0,0,0
0xe9f7d35e197f5c05f2e90284e6f599fa7e078ac3,2989420.19600708968937397,2989420.19600708968937397,0,0,0,0,0
0x6d8080c78315fbdc0ce21a3765cdf1ace674439d,2972847.299384166020900011,2972847.299384166020900011,0,0,0,0,0
0x140f38b47b563b94fbee9d69764b7e26e105242c,2968499.783071345649659634,0,0,0,0,2968499.783071345649659634,0
0x4cdd192d1e4fcc9d7263873af273b578bb678205,2936607.5,343571,0,1058902,0,1534134.5,0
0x73068c3ea3d71c1ac18df7235bf2d21d67d29599,2815076.873754936270415783,0,0,1291433.19265994755551219,0,1523643.681094988714903593,0
0x98d840b40d060c9805a5b81ed04133a193e0227f,2761268.293211840093135834,627760.284298303071409464,0,622308.356655884650535882,0,1511199.652257652254775167,0
0x775dcba2eb7c2d4e1524831549762583afabeff8,2760948.031874734908342361,2760948.031874734908342361,0,0,0,0,0
0x9791ca2bff6c98005ba55dcec9e09e27cdad8d7d,2600000,0,0,0,0,2600000,0
0xce17518615d60fac753ab477d8a4a7e096e7ec55,2500000,0,0,2500000,0,0,0
0x22efb538985b84cb3eee6d1dd3fac6aea6c304b8,2466543.705224585719406605,0,0,0,0,2466543.705224585719406605,0
0xb935e82b906de69d4e2ed9e24320067ec98353cf,2250000.639289357699453831,0,0,2250000.639289357699453831,0,0.000000000116415322,0
0xa32045160c1ee1ee6848884c50a60b15146f71b7,2143272.431585544254630804,0,0,2143272.431585544254630804,0,0,0
0x04570638736dbd50a48e353e58d764817414773c,2000000,2000000,0,0,0,0,0
0x79cb2e8d9e093d2a0c9208c06cb5cd70145ff8b5,1905349.925721816951408982,0,0,1450377.591462463606148958,0,454972.334259353345260024,0
0xa779fc675db318dab004ab8d538cb320d0013f42,1749436.698576327180489898,0,1457863.915480272611603141,0,0,0,0
0x4c1595131e717487f28743923a7a3a6fab17e54a,1730929.5,1730929.5,0,0,0,0,0
0x01f7c7f4eddbb6ccca3e1b621a065eba7c2fac7e,1668845.706828047288581729,0,0,1668845.706828047288581729,0,0,0
0x0174621a33773a9da88636b83293f58eac2905bb,1662465.128137517487630248,0,0,0,0,1662465.128137517487630248,0
0x54e4920271181218c026d014b43bd9d070d3be55,1620722.165642754174768925,468114.28408126428257674,0,1152607.881561490008607507,0,0,0
0x9a214e4c8ec31632ee3057d3e64f58ae63c2f801,1543608.87580770393833518,0,0,1543608.87580770393833518,0,0,0
0x533b4315c3675b5b6285238dedce095181bd7c67,1400880.642945769708603621,0,0,0,0,1400880.642945769708603621,0
0x4d597d2171f2fc804a4fbeec7916173e605d0c86,1261747.863694290397688746,0,0,0,0,1261747.863694290397688746,0
0x052452842f60a3f0d61a5fa799933940f0cc4c56,1193837.764147408539429307,0,0,1193837.764147408539429307,0,0,0
0x44996f99baf81b9a41a68e93babca1e94250c579,1116181.170677951071411371,0,0,185859.259893964161165059,0,930321.910783986793830991,0
0xf777094ba238ba665c7b2cb44f70c9d11a72ac55,1105399.892484834184870124,0,0,1105399.892484834184870124,0,0,0
0xf93dfcc59e7c2cee3372c10256fee0a418bfcf13,1000000.000000000116415322,0,0,0,0,1000000.000000000116415322,0
0xfdec56d3fbe2c5bcfe4ebc5320c036d33e03421f,999999.999755466473288834,0,0,999999.999755466473288834,0,0,0
0x0701894a3fae651650600ef63a45cc00ffe13dcf,991953.746843510423786938,0,0,713135.629121695645153522,0,278818.117721814778633416,0
0x8d204109f181fdc263b5317f7e87050a05bd6fef,865756.867398932226933539,116617.769852453449857421,0,415840.196055322419852018,0,333298.901491156313568354,0
0xb198a4acfac89148b1f0475910441c8ac639eea4,861955.11539812246337533,38972.154791193628625479,0,0,0,822982.960606928798370063,0
0xb276f18576bb2045ade9707e0d00f153355f027e,600402.855752174742519855,600402.855752174742519855,0,0,0,0,0
0x148457d469f7c47894d5eeda58225c73fe43dc00,547134.482423868961632252,547134.482423868961632252,0,0,0,0,0
0x9e2b49515d68a9fe6db26dd6b034e34307d77666,503176.153827352332882583,0.000000000000227374,60847.10032746414799476,0,0,0,358466.361195329460315406
0xdad8ba339717264eae2c438c85f3a94c9417ee25,419689.807659405400045216,39540.982081898167962208,0,0,0,380148.825577507261186838,0
0x7abe8325b9ff4fb52db978752cf579efc77bc010,214235.08587794445338659,214235.08587794445338659,0,0,0,0,0
0xecbe76eb784a1ec0aeb49c2619d0c7b3661b88a4,147417.07670143770519644,23096.211985054454999045,0,0,0,124320.864716383250197396,0
