Holder Address,0x20ef84969f6d81Ff74AE4591c331858b20AD82CD LP Balance,0x3e43cB385A6925986e7ea0f0dcdAEc06673d4e10 LP Balance,0x2b0772BEa2757624287ffc7feB92D03aeAE6F12D LP Balance
0xaec539a116fa75e8bdcf016d3c146a25bc1af93b,0,9635.521958807014016202,0
0x476e9f3eae79fcf2975f2b7f907c769513fac234,938.832864894914791876,0,0
0x9ddcf4fa7525d073b3df66c84e3607e3f5f6e8cf,0,0,1611.376798803479232447
0x30e450eafacfdea0043029c177532109296024a9,0,1931.752282440538238006,11594.955248783648130484
0x717f89ad8feeda380aad4212db104dc8e35b456a,10886812.690228711813688278,0,0
0x754f8c5df6fb5bfc2b3001fcbe4ac5797f2fe534,1800664.768817718140780926,0,0
0xe7420f4b26a565186ccdf5c3d356c62b127c81ef,107501.833030046152998693,0,0
0xf7328745bc127759e33bd6c73973db10a156d55d,5616109.259192727506160736,0,0
0x91669a1bdb132c8103774a58410cf6934714dea4,0,0,18124.339387029551289743
0xe5e62f948d3d5e47c030839d415b474ad373efff,0,0,71741.303088920074515045
0xf5a40a74bf78150b41177fbf7476d395900d28d6,0,381368.367836778284981847,234420.233874693396501243
0x0ca6cadb6a8ca4199788b9a060c3285fe7b897fd,342362.124115523649379611,0,0
0x7798ba9512b5a684c12e31518923ea4221a41fb9,338448.968157993222121149,0,0
0xbe6b4b9d33e15e17a3852a6e7bfea0f0a126363d,22178.27257718547116383,0,0
0x2fd1d8eaa6ed1b424c2d03ce5eadde9f301c3235,0,962272.725517603219486773,2599829.228976630605757236
0x410a6c7d7e4bdf6b6e8a63614c8ff30bb24fd72d,4181.197788455065165181,0,0
0xf260029a51933376dce9e60d0ab0be2c6403746b,115474.680727800587192178,0,0
0x9dbc5e35a2f1a6dc214bdb7ed7a8c706d77f0a74,562098.296239978051744401,0,0
0xc8f5e91a1e4bb9252f4c8f4cd5c85776f13f4669,565498.800065286224707961,0,0
0xceb780385e065697669e33a07266303598d085fb,10876.830768459685714333,0,0
0xe8e03821e3ef26221a9f95998283dc36ea08ad13,116634.116616258412250318,0,403492.193488619290292263
0x43d76016d4759fb0d5e7ef8f64d643516a0d62dd,150453.485645233246032149,197996.113402554095955566,88688.315346808158210479
0x139d373b1db84c9a61861743477b591f55327ace,0,141207.708836100267944857,0
0x1d303f28299c936d88fec35f3c0c4428e8c115ed,10465.993018251912872074,0,0
0x56a0d7288147e489e806591c68561da2ee369ff9,556926.432349801412783563,0,0
0xa34e1916b62fe9731737471b985de62fb526a014,132847.762554523127619177,0,0
0x5d91c94fd64a08f9b9812c22f4da940b8ceda4ee,8861.347294944744135137,0,0
0x70b17336dff194a085afc0ab703a8357b32daffa,126809.736572063819039613,0,0
0x2ed7cc0236ba832d7dfb190e9bced27de1a034f2,143835.147813708084868267,0,0
0xd678060cfb8a399be58951e865a32547f9280da1,5453.416395853651010839,13271.494087793296785094,0
0xb7f175bca037f6a5e6f89a9706f5c58e4db11b2c,42.593922801329370031,0,61.967388210958873174
0xc44481bbe32ed16832a47127cf2009f121d229b2,16.907181303066188605,0,0
0x7c1cd9dedc4c7195c55eb178723ef365688cef43,49400.902238524970016442,0,0
0x6ddb4a2f6c2959624280b87a05fbe673c28ca565,0,0,187102.792149784247158095
0xaec348bad0e323ae6f196ecdac28fc5de227d78e,0,3437836.75345134362578392,1732130.405566967790946364
0xc75cd88e4e20078595a92adbd2c35aa9dffc14d1,76622.002329214548808523,701440.419211238157004118,0
0x777d2c6fdc7bf5fd9a08baf989d851a2075bc0be,35247.438853851206658874,0,0
0x5b6ac530b356d56f5edc39bbf22a428e8813b2b0,9608.30675495478681114,0,0
0xda5120a6a96c30cfe3dadc8ba8f555f3386a29c8,10937.223217106737138238,0,0
0x9d22a57f34f1cd4f71118eec855b61589abec625,15270.913780214723374229,0,0
0xb42da20d45c7aa1a8ceceed2404c54095612012c,0,10936.216129142849240452,0
0x7a8a6cc221eb6b4b13a240f893b9bc506c61f0ad,1056.254289386305345033,0,1402.127282618857179841
0x3366d8d6c2f128d0fc8fd6301d598c0fd7d17adc,0,0,296139.311717535485513508
0xb5ede3d2ad1ca2784b8ed6140de2139f45421ec5,728.317799915169075575,0,36518.665117349766660482
0x6c49f54f0db526c0c093dd7718e658de41c54add,0,18176.514815301157796057,26979.03091140804826864
0x9ebb301c12fa1e18e844a84c1910ea366d57d0e2,54058.692631626749061979,0,0
0x6efe92ecb801f36b6075c9de438791810472c4e2,17450.31987847814525594,0,10923.148988553546587355
0xf0f94428eda4c6a7c4b078c397f6d695fb0424a6,0,0,27534593.374531224370002747
0xb744f2324b8b233fce6553ec40c1b07bed92d16c,6972.664611566866369685,0,0
0xc7f2be6f8890d98277c848c8904ec2a4879dfc25,94347.119173203420359641,0,50434.475863854269846343
0x0c5fcbbac2f1c619bffa96522bbc1289fe8d9dfa,0,19859.621407803602778586,21296.96375548619471374
0xb7725d73451c359560d43dee3a6e83d1e23257b6,8149.038337711992426193,0,91878.076358500300557353
0xc5d760b2c0d1e4ac5c7fa3e4115653a64df99da8,0,0,2347893.000754584558308125
0xf81c87fb76f3acf458ebd29df60c92f4b7ce8db3,0,0,250000
0x1610b86e82d6c9038835f6a121052e428882eaa6,3803.415459945439124567,0,0
0x0727eb5c6fcc23956991c4da28f79750b601c088,0,47022.721107949182623997,0
0x8ed7f608b01327516f55c0b49a2f462cc5124939,5508.86119324967967259,0,30727.641676073191774776
0x80f2dcc6eb3f122ec5083edb5ec0dcfe041de184,1058.102404982989355631,1797.043087325879241689,0
0xa001900fb17c29904e704446120b73774cbd8aef,0,0,3989.868618110863735637
0xc368651db4a0adf75d502631378ce330289aabc9,0,0,15673.264932691490685102
0x4f19a8b2e92c4123a9884b2e247d29a23ae4908e,0,0,2339.634750560836437216
0x323ae98d3d091778d09c84fa4d55f2d1d6542ec1,0,2165.908874357165132096,0
0xd67e3f2575d2afc1dc379c638f2e317f0d30a403,0,0,1518396.751987629337236285
0xa779fc675db318dab004ab8d538cb320d0013f42,1457863.915480272611603141,0,0
0x1f5d295778796a8b9f29600a585ab73d452acb1c,485935.717187971749808639,0,0
0x10de9f6af2b396d810b96cd6dd114dc1c4beeb6a,4459.957401781023691001,0,0
0xe02fd9dd91786369b94274b3e7613562a5ae9b5f,22864.928885960354818963,0,0
0xa36812df451d705e1a9e8b2b805f503eb7a99d5a,583450.074679626384750009,0,0
0x78562a10b86c1d0dddf26a2c66bd8de64656ff8c,1157.361062252868350697,0,0
0xd03af34cb52ce6c0bc969aaf46721c4c4e72b5d3,5452.188874056668282719,0,0
0x374463ce3df9538d255ff316ff2778fca9f196be,92332.379067829984705895,0,0
0x1eb5a882c809875117f5930a3b6a5e1eea7e5dc2,23931.503733144483703654,0,0
0x304856144a8cc390cd59c76f7df2dcd8174ba549,324001.03878712875302881,0,0
0xaab0ae4a110e11a1c1ff191c408fa09bdcad7f53,0,5621.517815128740949149,0
0x942a544fa2fbfcc33c7730aaba88935c184ed0eb,4800.343603259525480098,0,0
0xc0a412f42214ed7238247daf5458c7a503843873,20178.738713313610787736,0,0
0x4cd3b617bd62c5c8500a9da5a2c1411faa0499bb,0,0,83.329336632442391419
0x4056ebdcdd0d8b9fe04f9ef918a948369f154a37,0,0,311916.164538864453788847
0x824157e0ba80e32e6326eefa625c7a71b20fe016,20065.722473952249856666,0,0
0x9e2b49515d68a9fe6db26dd6b034e34307d77666,60847.10032746414799476,0,358466.361195329460315406
0x516514c1c2b96b5bf7fb09b6a26519303f3f4ff2,2188.663309161352117371,0,0
0x1a96ccab12df0eba0263a35bf83a5b664be29f31,1593.538712356143150828,0,0
0x56806157e8ff46cd3adce4b5b6d923ba637c5bc3,2600.862695607196656056,0,0
0xd18fd946bb890f30b40f82be6419c30a917a9546,3475.894164303957040829,912.685211046648532829,21179.999984019617841113
0x1f63f853ae7bed45e16ba1a0d6dda154facddaf0,1867.232746144600923799,0,0
0xee43ac49631b4488e7c2c3d7e354ca1e17512fa2,5359.914622365566174267,0,0
0xf23d406def9a41576ef3f921eb2590f3ccfa70ab,0,0,58757.1757522662228439
0x69189d4a76dfb6b9ed989ef77dedafdb83ba6f3d,503.687703352489165809,0,0
0x66d4198154511366d0a43a92482798c91cfc7122,0,0,68592.027241941512329504
0xe2106106ae182fe29d0ab5d04254d143e7e9343e,10506.517193115738336928,0,20848.830748731867060997
0x166b48c9589001c6955cd2bd81d13a6cd8803749,96874.99560670496430248,0,0
0xb54c1eaf964f1f5a3481168fee1924a516be3e38,0,0,169808.349396382574923337
0xe75e69f3c02f06976087dd3965c38fba1cac142f,0,0,7765.286774889090338547
0x1571323a6dbf9ff8aed72f44f84de90ef3a36065,9186537.992996357381343842,0,0
0x014f9ace8159757957879994ae6a24e9aecf3b20,5469.432498257736369851,0,0
0xb173d32ba8507ace626854f8885e609c90c84103,803.556129362892647805,0,0
0xdf6c44f7d8a5aeb31c12797d70f28585acead59d,17454.400738864584127441,0,0
0xb9fb6c66c0611f946737646f3aeb9af94a80d2de,203838.540542153001297265,0,0
0x737d35d0d1bc269104c627a324f3d75cf96bdbdd,2117.637870953594301682,0,0
0xba44543fa670459050c641e9cd6b6a4494021ad4,475.556554232614757893,0,0
0xc9d6af19a95c6546e9ed219eabca48276707657d,0,0,2218619.951467197388410568
0x764abe778aa96cd04972444a8e1db83df13f7e66,0,0,81241.87940050165343564
0x0ced8de7af1d1edcbc656c38ef4921db376b7157,3212.132092355424447305,0,20036.484582521912670927
0xee23f4bc1671d048a8e592aabd0b2be497bcb5c2,732863.729496346320956945,1135323.85702859447337687,2288209.266238951124250889
0xd4c892e79709f04def6f4b11a589e535e31b4c9d,204.227849930079599972,0,0
0xfe06c0c5964dbac16aa6cc83d2d32995b54056e3,2048.623589795149200654,0,9759.631846519338068902
0x3fd2796988af4e649c4014be617e668b6675fe8b,10264.691527127290100907,0,0
0x079ddb99888346c9b1063f3aa203b1a6002fe4d2,90644.108897063735639676,0,0
0xf7ae9c83ceb1881ebcb01de94ff4bfe553404308,18607.21194690136690042,0,0
0x2b5fb9e2799c37c919c063e856fe106d2ae66d33,0,0,166283.096948742255335674
0x54b22c908f456ec78949a245d544b51519193ec9,9287.114056131355027901,0,0
0x109ef5e41c2f8607047f004e22c116eea3539eee,9856.164926177909364924,0,0
0x4a38ef9e6ab43d8ac6503098845ab8960e1b2a38,182397.289312303822953254,0,0
0x4ac937bb4f356a4ed9479e49ac7bbfb93af3742e,8391.162069816662551602,0,0
0xe7d80ce2cc6fdf79ddc4c235ef0be66b3afd2238,6935.785620942175228265,0,0
0xd8735ad8dba694f21c0ebc544ef908aeae56d751,5473.376335561917585437,0,0
0x8c9afeb10170f2c8e9f3e89ec7451f965e23982d,9125.336427973315949203,0,0
0x7c16f5513c458cfa2c6d2d55d269d32edc370a40,1107.809072361163771347,0,0
0x15b640a14a4faad670e4e6fa52c8361f13c96cca,1005.552367323347425554,0,0
0x63b386b073acc1acd215510bc146ac601bd5bb46,34570.191130793005868327,0,0
0x62f4f976174225e8f3a9c218077664dfe72cf388,178376.921130266651744023,0,0
0xd82f3fefe96efccf2cd0d77fa8714df0871b3500,46199.043691469931218307,0,0
0xdefa42f1c6ebce3663b99d3d1447aa426413bc74,3701.618835705628043797,0,0
0x418ea9ca6150c65859cb2d34a72a70cdf9cf5976,0,4282008.114865795709192753,0
0x2f2f942dfb05dd780f92400f02a88f66099e2904,0,96368.036012598851812072,0
0x396eac1d51be794f7a92e22db304e9ca6ef92439,1422.975852681882543038,0,0
0x723e7abbe0a1f672eff898d835a4072ea2dad368,193031.063180275785271078,363711.399835113203153014,1352855.331445471383631229
0x8ada3d85342c3d17c768992a56d39aa733b5b38c,2414.581471494082052232,8587.314460445319127757,10843.285780723135758308
0xfcd95632af707937db1bedfba70f226b89fc2224,22116.546356290637049824,0,0
0x211811bb66be5516f76ddb99d375245261d5cfc3,12594.512938827143443632,0,0
0x9e565a6760e3bcf3eda6e6d1efc790e99981c217,32403.459027305252675433,0,0
0x1abe2c9d1e0f0312493b8cc328fd7d4582432979,47511.962029279311536811,0,0
0x56d68ccc4d5064e5dbdaacd1729bf6dadd50cc8f,13018.073658349858305883,0,0
0x059f4c04295bde54893c24025d8229e35318d3cc,63210.854531455450342037,0,333509.09818732674466446
0xb7e8ac436eec24dcaa2ed0c908e7e729a1d45e25,1765.720826232778108533,0,0
0x51c9c3e52778b569dd1295f6c5854879a77449e7,9940.099295829189941287,0,0
0xa111c7979268b8e864c6a5e8fe72ef72226be97c,0,0,6363.340646002780886192
0xc64f03975b6ab6b9296ffe176bca7b016d2379bf,0,0,1551.343607840102094997
0x965f2225bc4657ad9e1a892e6299db312f2d5588,13090.091188894388324115,0,24344.357011484240501886
0x5c469c7ac2099c789e9bd0033b6571058782f3ef,3072.196625810289788205,0,0
0x3a828f5f7ab86f37dde2f6c6482150c8919d5ff8,13152.11763700433766644,0,0
0x06abf3df349b578109b59f25bedc8b7b92b6b7bc,0,0,1553064.838059098925441504
0x5972bf9c7907732990f04eb4d0d1ca5cb9a62e3d,43131.446531076631799806,0,0
0x735ff2d0618ab71b650471046c28c7341e383b02,241.141446641846243892,0,0
0xeb27e9994e08fcb35b397a185245b0026d240546,30.600225521177634391,0,0
0x3a6f85f0658f1f32aa58691d28b78abb1164e25c,0,0,34071.360167523147538304
0x1d30f5062991e5a00ec5472e934550e92b96474d,27369.368433586107130395,0,0
0xdc61ba62284e03e6f94acf442bcd992a2610c778,969.526904767265591545,0,0
0x8c213983dda81d4f311b431da912f804ec34f3f0,991.494263766491485512,0,0
0x86dbc8ad9722041fcfda007a54b85d5492a94936,9771.114893785050298902,0,0
0xfb4194c771e67115a34c28eab0c1e27e1bef2407,0,0,2878.117504844356517424
0xa4294a51243f11edde276e635314e36c54ae25a1,6103.608300761436112225,0,0
0xace3371545521ba5bb1bd1555d360c680e835eb0,23348.781951905330060981,0,0
0xde0f35322345d24b1fdff3059a542419443c3b0d,2400.021903237008700671,0,0
0x110f97ce2979e5a729034522f95324abf193f9f1,28671.209253620840172516,0,0
0x96dafc16a42db1206d550159387f73886d7d6600,4942.568639671398159408,0,0
0xb20df3560da0b2e78ddfafd97ef4b4df4833e6c6,511.686605976293321874,0,0
0x641feb9d88848019f606482daa7441f0555e7040,121830.887955960526596755,0,0
0x78f6f566eb522e95e94695a9b76a25567cd1849b,1479.658707229766150704,0,0
0x5a9c734d86b596b381d042f63fe5fc98c7149ee4,72576.648737430892651901,0,0
0x2973870679fbe834b9694eb36d862fe35bf8bcfd,0,0,337169.769368259352631867
0x621b2547148324155da58655d15785d01fed5b29,0,0,97563.546953465978731401
0x4cd012165a45ffd670461aceca6c76e547721bfc,0,0,76674.824598141043679789
0xf51040e6104a86ec66b0ece14e09de7d24a1ec2a,15487.882551802009402309,0,0
0x30f21d65b38ae778fb3094fe5485af49e578c0ac,4632.062947337904006417,8048.397040719516553509,20412.25148435676965164
0xc5a661f33bf84ce3c9fd906f7846d756c84f762b,0,3396.830374428911454743,0
0x1415b69b2dc45e9ea8d309ef95b87deab2a173fa,5303.688433950725993782,0,0
0xa90f5b9a1b3b8a4fc179f641c23c68e4d561ca11,894.544884582968961695,0,0
0xcbdaf845a567e1988131bfa56b79816438471998,761.292402801745424767,0,1361.747417985087167835
0x17fe4ed21e35b5ad800179b0c20447ca3f5280db,4631.716053033785101434,0,0
0x09443863020a591f5b1c6c30f84525041624fc35,0,0,7375.725135762827449071
0x5171f2d223b5f807456fdc12b10128addd187cd2,122038.154694615252083167,0,0
0x10ea4664aec4c4d31844507a85a03213012e63ea,426.465055330137658984,0,0
0xeee240623c8c777c1134f2e8dbb0f7ea3da3d2e4,0,0,1217241.455202078679576516
0xaca8fc1fc8efff040f4f997c1eb90309c0900bff,658.764288741105019653,0,0
0x017345d3a7119011d79b28e7e497fc302ecc1b99,575.17879767187946527,0,0
0x3a0cc0d868c46b82a9ff9cf8088426a2b94f91b8,0,0,277889.033457138692028821
0xc9b2fb227b2d31c2dda51d0729ebe6302f1d5a7d,0,0,25146.072037869242194574
0xa3ddbf5dc8e0b710d81f35b36a2476fa0f3d9940,23749.678573203800624469,0,0
0x3d3f4fe17ebdc148fb3c07b6734d4ebcf228123a,10078.797815507459745277,0,0
0x423f370030ea8ff20ceb80954354275314bb1cbe,4871.819160149367235135,0,0
0xcbf11b40e267f9c694524bbc14d715f6b190c113,0,72410.74006885896960739,0
0xebfb46c1f35b209bb63d0ace0fc021774d0c5060,0,0,24701.427116579892754089
0x54d7e0a2d49ae6a5472d1143c515435c798257ef,13.907045005470257237,0,0
0x1d06708909236f350ab0c16e3da437b56315c4fb,0,2892.344438136061398836,2409.504553156891233812
0x766c7e1898e17b4fd0a66fb2e1397acef6efa1a6,0,27456.936240664465003647,0
0x0cb0f8ac9a6ea16b207d87989fd71333cf7a7ad8,786.76824606030038467,0,0
0xfcbaa1f02b52718fe011f426c10bf8101ac013bf,17202.848840930451842723,0,0
0x00000000051cbce3fd04148cce2c0adc7c651829,0,0,82579.420398914720863104
0xb5310077e499505b33a6f6c73991e66242d7ef3d,1322.975003004016343766,0,0
0xaa4b51b2a0f298b76b2539075125bd8688fc3d6c,21919.838337283905275399,0,0
0x48e41437e81e1211c930aa07524ed5f57f458414,6988.372824464137011091,0,0
0xa40f2c85f814827d9bc01d6e2e6328832991076e,4311.795473735362065781,7160.087521695237228414,26598.559574461345619056
0x0bb2ebe9304589a85c93437b2a92eb91ba0fc554,0,0,59685.483123477053595707
0x5e9bb1d23f0b744a3acba00889b2296cedcfd811,309.989054914720668421,0,0
0x3956e1c35184959d93c74131d7a87e88444e7c82,0,0,3269.563032528004441701
0xe7a9f850b32d279ecca2c97411754afaf440156a,0,469129.306552973343059421,0
0x29c0317fd88706b50e6296bb58120aa7879dff4a,3189.696791924967328669,0,0
0x0eda66924673e40d8d54488f41d84e4363b6d8b1,36068.330138871860981453,0,0
0xdbbedb2c8f55ae1039133a045beb78b83e5c2e99,0,115075.458180618777987547,0
0xd7586cbab94c888b14cbcbc9d701383abe32ec4b,2483.536239014762941224,0,0
0x9fdaa408ddc44f2c3cec424317d7a51b7839c710,0,0,99153.949548407763359137
0x8e62aa66a4598748a94fe4e9eec38137b56e13ab,0,0,14807.995443308347603306
0x40f465f1ba4c2aba91c0c896cb92bbe4c7e545df,27463.683958736186468741,0,0
0x83b23f80ec517cfe115c75dce0a8b5ec0e25d845,1129.554546091451584289,0,2282.160684423478869576
0x34c23ac4970b487bfe4107cc27a33171f9949026,0,0,88412.175958681720658205
0x585e553e89343f2777ff94e8907899c05104e177,0,0,2157.075188751219684491
0xd3dda506e6269a65b6d1690ae6d431bd18a67dfc,0,0,830.343985645073985324
0x0b02c9a22e170655cb037a5b603daadaf63eeb2f,64096.358359935235057492,0,0
0xfd4529bdfb13ca694dd0665a3ea37977ec644255,73665.319415985519299284,0,0
0xa514f2d36662bc0affa12d28437084ded2a97b8b,0,0,19213.333953521276271204
0xb35bc30c0f60657036a0baaf2442cb000d603297,0,0,14100.289438807878468651
0x3d6335b3a8952d0514804d07f0b80f98a4648dab,76151.557535752130206674,0,0
0x73ac540383d5f83c7b5b1f7e17bf11b02eac8fd8,24387.306936299770313781,0,0
0xbd4c524e289639fc696ee37b397edae7f418dc58,0,0,9082.418196956692554522
0x81e0f5023d7b6651d3df0cf0b6e0f5e3eb5f4498,0,204708.785702011227840558,0
0xbba3244d076066072bcda545348f36dcaa9a8b74,2938.086739730333647458,0,0
0x826c50499e48042073bc6a32d171ad8485b4b3b7,27868.316762703660060652,0,0
0x2cdc4eac2ad2adec932c38d052da8b50a29c75f3,15698.346693166422483046,0,0
0x835920a07c72746bb4fea12c63849c32d05d1ddb,47969.210339769815618638,0,0
0xf722e0478f7ebc34142884186e77e41da5946f6a,4274.544145051766463439,0,0
0x2c6af950657fb18ae89ac5ed66880e6225818f1d,2639.921403706661749311,0,0
0x857550257aee74075d955c166761a7f9d922f232,24534.611216114295530133,0,0
0x3a440ad67fde9db4fa92186a48a133cd05970783,0,0,11550.12301160221977625
0x7cb552152e2b28f9f6911c51b69b0d8d1fadafe1,0,0,50279.524445225317322183
0x93a28b0bbdb673a804f8a2f7758564b693ef7770,1072.304834718857591724,0,0
0xbae524a27c26005baea602a56bef7fbbd513c786,0,0,4882.835973775164347899
0x963f03555754a1c97b22f80033b3f919250e6de1,574.851504603778039382,0,0
0x72da758bfe2c8c7dd6ad5637bd622f58483466ce,0,0,5802.818062205396927311
0xc8884b1981dc6c0699b5b6ae8149941f86a77308,413494.688517475384287536,0,0
0xdbf2f91a17d899c8293bcd9279a69f982677dac2,0,0,20543.481657919524877798
0x4b300f507e26b7de998059ada836f993d417318b,20.572038682052784964,0,0
0x6bfc671ed21accf2583433b5b93c4b25f40dd7ee,0,0,10248.247950538881923421
0x064e54fe1478908687ef283075afcaf239e124d0,3935.391206200732995057,0,0
0xe6831b94ac2e2ba3ccbc7ec9d23830d2ce76a812,3981.196891544198024349,0,0
0xa21957306bd617e489f2a4070975e5abf4f6f1af,7200.320325380946087535,0,33481.27987953947740607
0x8673f35f3eabcd1fcf90c176cf476b5ab9d2e549,365.205161002040767926,0,0
0x31c2653ef1d93ab3c90180c698a26124917d81bc,1430.239049583118458031,0,0
0xc0bfcf36cef4dab149fde42f97e764cd22bcfd43,175626.829325887054437771,0,0
0xf2842caf741de5356da40a0a73da6521f08e3797,3470.3476584971349439,0,0
